Total Parameters,Segmentation1 mIoU,Segmentation2 IoU,Object Detection mAP50,FPS
3633327,0.9036798478122912,0.2784274803470802,0.7788225588181997,14.265280575061505
3346776,0.894952876315293,0.2557648033684098,0.7537243073038444,19.110611758152277
3072967,0.8908234626722499,0.2512641918557035,0.7481347453316791,18.994275900653783
2836936,0.890658555167059,0.2494831156232356,0.7426265748658758,16.759240909680805
2611395,0.8906520450515809,0.2481151776359932,0.7371658377841029,17.814478701526852
2396344,0.8895980029403993,0.2467180119822449,0.7313408026148264,21.5936226596628
2202379,0.8887083363008643,0.2444111741418831,0.7265675193068665,23.098033272877117
2034124,0.8883645889474605,0.2424601157617858,0.7210229956617259,23.527252633006015
1893742,0.8877930906564717,0.2397750771068242,0.7163086053224034,23.670127708239292
1759048,0.8862385948326269,0.2374582912605662,0.7077182972835985,24.16158465280741
1630042,0.8848764963877024,0.2350110742170396,0.6979155236228474,24.686021160543113
1510666,0.8833764861953864,0.2333262002802732,0.6892735268661964,22.72637783078878
1396686,0.8810818527713676,0.22656996210278263,0.6745799265137037,23.156633037932096
